MeasureName,UsageType,MonthYear,M_Value,TransType
value_m,Purchasing via online channels by debit cards,DEC 2016,276,Foreign-TH
value_m,Purchasing at point of sale by e-money,DEC 2016,471,Foreign-TH
volume_k,Cash withdrawal,JAN 2017,1033.0,Foreign-TH
volume_k,Cash advance,JAN 2017,1039.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2017,3594.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JAN 2017,356.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2017,745.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JAN 2017,49.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JAN 2017,587.0,Foreign-TH
value_m,Cash withdrawal,JAN 2017,6336.0,Foreign-TH
value_m,Cash advance,JAN 2017,8072.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2017,21425.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JAN 2017,2600.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2017,3493.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JAN 2017,306.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JAN 2017,1116.0,Foreign-TH
volume_k,Cash withdrawal,FEB 2017,968.0,Foreign-TH
volume_k,Cash advance,FEB 2017,923.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2017,3106.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,FEB 2017,320.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2017,592.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,FEB 2017,43.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,FEB 2017,736.0,Foreign-TH
value_m,Cash withdrawal,FEB 2017,5757.0,Foreign-TH
value_m,Cash advance,FEB 2017,7020.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2017,19093.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,FEB 2017,2277.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,FEB 2017,2678.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,FEB 2017,262.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,FEB 2017,1630.0,Foreign-TH
volume_k,Cash withdrawal,MAR 2017,989.0,Foreign-TH
volume_k,Cash advance,MAR 2017,880.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,MAR 2017,3139.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,MAR 2017,316.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,MAR 2017,555.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,MAR 2017,42.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,MAR 2017,708.0,Foreign-TH
value_m,Cash withdrawal,MAR 2017,5723.0,Foreign-TH
value_m,Cash advance,MAR 2017,6307.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,MAR 2017,18596.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,MAR 2017,2307.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,MAR 2017,2475.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,MAR 2017,248.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,MAR 2017,1591.0,Foreign-TH
volume_k,Cash withdrawal,APR 2017,902.0,Foreign-TH
