BankType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Bank,Counter,NOV 2010,865.27,volume_k,e-Payments (Royal Decree)
Bank,ATM,NOV 2010,25453.2,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,NOV 2010,16303.14,volume_k,e-Payments (Royal Decree)
Bank,Internet,NOV 2010,5861.66,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,NOV 2010,1435.85,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,NOV 2010,926.07,volume_k,e-Payments (Royal Decree)
Bank,Telephone,NOV 2010,290.53,volume_k,e-Payments (Royal Decree)
Bank,Others,NOV 2010,1236.0,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,NOV 2010,1052.16,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,NOV 2010,7339.9,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,NOV 2010,10735.62,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,NOV 2010,34.48,volume_k,e-Payments (Royal Decree)
Non-bank,Others,NOV 2010,1684.29,volume_k,e-Payments (Royal Decree)
Bank,Counter,DEC 2010,832.54,volume_k,e-Payments (Royal Decree)
Bank,ATM,DEC 2010,26909.72,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,DEC 2010,17576.24,volume_k,e-Payments (Royal Decree)
Bank,Internet,DEC 2010,6007.01,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,DEC 2010,1466.28,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,DEC 2010,983.22,volume_k,e-Payments (Royal Decree)
Bank,Telephone,DEC 2010,293.58,volume_k,e-Payments (Royal Decree)
Bank,Others,DEC 2010,1157.86,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,DEC 2010,920.81,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,DEC 2010,8051.45,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,DEC 2010,10899.54,volume_k,e-Payments (Royal Decree)
