ChannelType,MeasureName,UsageType,MonthYear,M_Value,TransType
Mobile Banking,volume_k,for fund transfer and payment,JUN 2019,389058.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2019,19030.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2019,1952.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2019,35.0,Online Banking
Internet Banking,agreements,,JUL 2019,27144858.0,Online Banking
Internet Banking,volume_k,,JUL 2019,47214.0,Online Banking
Internet Banking,value_b,,JUL 2019,1913.0,Online Banking
Mobile Banking,agreements,,JUL 2019,56585791.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2019,421493.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2019,21531.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2019,2440.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2019,40.0,Online Banking
Internet Banking,agreements,,AUG 2019,27552041.0,Online Banking
Internet Banking,volume_k,,AUG 2019,50029.0,Online Banking
Internet Banking,value_b,,AUG 2019,1913.0,Online Banking
Mobile Banking,agreements,,AUG 2019,55486366.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2019,450181.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2019,23522.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2019,2499.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2019,43.0,Online Banking
Internet Banking,agreements,,SEP 2019,27613660.0,Online Banking
Internet Banking,volume_k,,SEP 2019,42006.0,Online Banking
Internet Banking,value_b,,SEP 2019,1846.0,Online Banking
Mobile Banking,agreements,,SEP 2019,56300671.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,SEP 2019,471594.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,SEP 2019,24482.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,SEP 2019,2513.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,SEP 2019,43.0,Online Banking
Internet Banking,agreements,,OCT 2019,28023907.0,Online Banking
Internet Banking,volume_k,,OCT 2019,26288.0,Online Banking
Internet Banking,value_b,,OCT 2019,1764.0,Online Banking
Mobile Banking,agreements,,OCT 2019,57479567.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,OCT 2019,520732.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,OCT 2019,26840.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,OCT 2019,2819.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,OCT 2019,49.0,Online Banking
Internet Banking,agreements,,NOV 2019,28657871.0,Online Banking
Internet Banking,volume_k,,NOV 2019,27228.0,Online Banking
Internet Banking,value_b,,NOV 2019,1657.0,Online Banking
Mobile Banking,agreements,,NOV 2019,58752128.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,NOV 2019,528869.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,NOV 2019,28006.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,NOV 2019,2746.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,NOV 2019,51.0,Online Banking
Internet Banking,agreements,,DEC 2019,29404466.0,Online Banking
Internet Banking,volume_k,,DEC 2019,28664.0,Online Banking
Internet Banking,value_b,,DEC 2019,1898.0,Online Banking
Mobile Banking,agreements,,DEC 2019,60084145.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,DEC 2019,567196.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,DEC 2019,29867.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,DEC 2019,2981.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,DEC 2019,60.0,Online Banking
Internet Banking,agreements,,JAN 2020,28769748.0,Online Banking
Internet Banking,volume_k,,JAN 2020,28098.0,Online Banking
Internet Banking,value_b,,JAN 2020,1863.0,Online Banking
Mobile Banking,agreements,,JAN 2020,60679606.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2020,558764.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2020,29913.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2020,2876.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2020,57.0,Online Banking
Internet Banking,agreements,,FEB 2020,29581529.0,Online Banking
Internet Banking,volume_k,,FEB 2020,28719.0,Online Banking
Internet Banking,value_b,,FEB 2020,1747.0,Online Banking
Mobile Banking,agreements,,FEB 2020,61682877.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2020,575054.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2020,32153.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2020,2826.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2020,59.0,Online Banking
Internet Banking,agreements,,MAR 2020,29850113.0,Online Banking
Internet Banking,volume_k,,MAR 2020,32026.0,Online Banking
Internet Banking,value_b,,MAR 2020,2200.0,Online Banking
Mobile Banking,agreements,,MAR 2020,62788691.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2020,643131.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2020,31792.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2020,3088.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2020,59.0,Online Banking
Internet Banking,agreements,,APR 2020,30362322.0,Online Banking
Internet Banking,volume_k,,APR 2020,32347.0,Online Banking
Internet Banking,value_b,,APR 2020,1800.0,Online Banking
Mobile Banking,agreements,,APR 2020,64326320.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2020,618934.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2020,24500.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2020,2619.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2020,45.0,Online Banking
Internet Banking,agreements,,MAY 2020,30447756.0,Online Banking
Internet Banking,volume_k,,MAY 2020,36662.0,Online Banking
Internet Banking,value_b,,MAY 2020,1744.0,Online Banking
Mobile Banking,agreements,,MAY 2020,61458463.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2020,737258.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2020,30247.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2020,2908.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2020,56.0,Online Banking
Internet Banking,agreements,,JUN 2020,30976384.0,Online Banking
Internet Banking,volume_k,,JUN 2020,36121.0,Online Banking
Internet Banking,value_b,,JUN 2020,1792.0,Online Banking
Mobile Banking,agreements,,JUN 2020,62913603.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUN 2020,758758.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2020,32833.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2020,3178.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2020,61.0,Online Banking
Internet Banking,agreements,,JUL 2020,31531328.0,Online Banking
Internet Banking,volume_k,,JUL 2020,37093.0,Online Banking
Internet Banking,value_b,,JUL 2020,1850.0,Online Banking
Mobile Banking,agreements,,JUL 2020,64244701.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2020,801477.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2020,36116.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2020,3465.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2020,67.0,Online Banking
Internet Banking,agreements,,AUG 2020,31552402.0,Online Banking
Internet Banking,volume_k,,AUG 2020,38782.0,Online Banking
Internet Banking,value_b,,AUG 2020,1809.0,Online Banking
Mobile Banking,agreements,,AUG 2020,64994438.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2020,827835.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2020,38446.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2020,3477.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2020,68.0,Online Banking
Internet Banking,agreements,,SEP 2020,34213563.0,Online Banking
