MeasureName,BankType,MonthYear,M_Value,TransType
Topup_Value,Bank,FEB 2012,42.4,e-Money
Topup_Value,Non-bank,FEB 2012,2078.38,e-Money
Spending_Value,Bank,FEB 2012,45.14,e-Money
Spending_Value,Non-bank,FEB 2012,2084.72,e-Money
Cards_Account,Bank,MAR 2012,0.56,e-Money
Cards_Account,Non-bank,MAR 2012,14.37,e-Money
Topup_Value,Bank,MAR 2012,57.91,e-Money
Topup_Value,Non-bank,MAR 2012,2344.13,e-Money
Spending_Value,Bank,MAR 2012,51.04,e-Money
Spending_Value,Non-bank,MAR 2012,2344.59,e-Money
Cards_Account,Bank,APR 2012,0.57,e-Money
Cards_Account,Non-bank,APR 2012,15.0,e-Money
Topup_Value,Bank,APR 2012,41.03,e-Money
Topup_Value,Non-bank,APR 2012,2427.92,e-Money
Spending_Value,Bank,APR 2012,50.94,e-Money
Spending_Value,Non-bank,APR 2012,2415.27,e-Money
Cards_Account,Bank,MAY 2012,0.61,e-Money
Cards_Account,Non-bank,MAY 2012,15.11,e-Money
Topup_Value,Bank,MAY 2012,74.87,e-Money
Topup_Value,Non-bank,MAY 2012,2550.82,e-Money
Spending_Value,Bank,MAY 2012,56.78,e-Money
Spending_Value,Non-bank,MAY 2012,2521.57,e-Money
Cards_Account,Bank,JUN 2012,0.66,e-Money
Cards_Account,Non-bank,JUN 2012,15.62,e-Money
Topup_Value,Bank,JUN 2012,75.45,e-Money
Topup_Value,Non-bank,JUN 2012,2637.38,e-Money
Spending_Value,Bank,JUN 2012,61.44,e-Money
Spending_Value,Non-bank,JUN 2012,2635.1,e-Money
Cards_Account,Bank,JUL 2012,0.69,e-Money
Cards_Account,Non-bank,JUL 2012,16.03,e-Money
Topup_Value,Bank,JUL 2012,71.24,e-Money
Topup_Value,Non-bank,JUL 2012,2854.24,e-Money
Spending_Value,Bank,JUL 2012,64.23,e-Money
Spending_Value,Non-bank,JUL 2012,2841.83,e-Money
Cards_Account,Bank,AUG 2012,0.74,e-Money
Cards_Account,Non-bank,AUG 2012,16.66,e-Money
Topup_Value,Bank,AUG 2012,104.94,e-Money
Topup_Value,Non-bank,AUG 2012,3490.94,e-Money
Spending_Value,Bank,AUG 2012,79.37,e-Money
Spending_Value,Non-bank,AUG 2012,3430.83,e-Money
Cards_Account,Bank,SEP 2012,0.79,e-Money
Cards_Account,Non-bank,SEP 2012,17.32,e-Money
Topup_Value,Bank,SEP 2012,83.69,e-Money
Topup_Value,Non-bank,SEP 2012,3565.07,e-Money
Spending_Value,Bank,SEP 2012,76.11,e-Money
Spending_Value,Non-bank,SEP 2012,3588.14,e-Money
Cards_Account,Bank,OCT 2012,0.87,e-Money
Cards_Account,Non-bank,OCT 2012,18.12,e-Money
Topup_Value,Bank,OCT 2012,94.51,e-Money
Topup_Value,Non-bank,OCT 2012,3722.12,e-Money
Spending_Value,Bank,OCT 2012,82.52,e-Money
Spending_Value,Non-bank,OCT 2012,3674.76,e-Money
Cards_Account,Bank,NOV 2012,0.9,e-Money
Cards_Account,Non-bank,NOV 2012,18.7,e-Money
Topup_Value,Bank,NOV 2012,82.66,e-Money
Topup_Value,Non-bank,NOV 2012,3389.15,e-Money
Spending_Value,Bank,NOV 2012,83.06,e-Money
Spending_Value,Non-bank,NOV 2012,3339.04,e-Money
Cards_Account,Bank,DEC 2012,1.01,e-Money
Cards_Account,Non-bank,DEC 2012,19.22,e-Money
Topup_Value,Bank,DEC 2012,133.89,e-Money
Topup_Value,Non-bank,DEC 2012,3589.85,e-Money
Spending_Value,Bank,DEC 2012,102.13,e-Money
Spending_Value,Non-bank,DEC 2012,3521.55,e-Money
Cards_Account,Bank,JAN 2013,1.03,e-Money
Cards_Account,Non-bank,JAN 2013,19.6,e-Money
Topup_Value,Bank,JAN 2013,119.16,e-Money
