MeasureName,PaymentType,MonthYear,M_Value,TransType
value_b,Cash,APR 2013,198.0,Bill Pay
value_b,Cheque,APR 2013,234.0,Bill Pay
value_b,Others,APR 2013,61.0,Bill Pay
volume_k,Cash,MAY 2013,29121.0,Bill Pay
volume_k,Cheque,MAY 2013,155.0,Bill Pay
volume_k,Others,MAY 2013,531.0,Bill Pay
value_b,Cash,MAY 2013,208.0,Bill Pay
value_b,Cheque,MAY 2013,222.0,Bill Pay
value_b,Others,MAY 2013,57.0,Bill Pay
volume_k,Cash,JUN 2013,28268.0,Bill Pay
volume_k,Cheque,JUN 2013,151.0,Bill Pay
volume_k,Others,JUN 2013,528.0,Bill Pay
value_b,Cash,JUN 2013,200.0,Bill Pay
value_b,Cheque,JUN 2013,196.0,Bill Pay
value_b,Others,JUN 2013,68.0,Bill Pay
volume_k,Cash,JUL 2013,29624.0,Bill Pay
volume_k,Cheque,JUL 2013,157.0,Bill Pay
volume_k,Others,JUL 2013,504.0,Bill Pay
value_b,Cash,JUL 2013,196.0,Bill Pay
value_b,Cheque,JUL 2013,210.0,Bill Pay
value_b,Others,JUL 2013,63.0,Bill Pay
volume_k,Cash,AUG 2013,29723.0,Bill Pay
volume_k,Cheque,AUG 2013,154.0,Bill Pay
volume_k,Others,AUG 2013,496.0,Bill Pay
value_b,Cash,AUG 2013,195.0,Bill Pay
value_b,Cheque,AUG 2013,208.0,Bill Pay
value_b,Others,AUG 2013,117.0,Bill Pay
volume_k,Cash,SEP 2013,29038.0,Bill Pay
volume_k,Cheque,SEP 2013,157.0,Bill Pay
volume_k,Others,SEP 2013,489.0,Bill Pay
value_b,Cash,SEP 2013,201.0,Bill Pay
value_b,Cheque,SEP 2013,204.0,Bill Pay
value_b,Others,SEP 2013,59.0,Bill Pay
volume_k,Cash,OCT 2013,30321.0,Bill Pay
volume_k,Cheque,OCT 2013,154.0,Bill Pay
volume_k,Others,OCT 2013,495.0,Bill Pay
value_b,Cash,OCT 2013,198.0,Bill Pay
value_b,Cheque,OCT 2013,216.0,Bill Pay
value_b,Others,OCT 2013,66.0,Bill Pay
volume_k,Cash,NOV 2013,29046.0,Bill Pay
volume_k,Cheque,NOV 2013,152.0,Bill Pay
volume_k,Others,NOV 2013,470.0,Bill Pay
value_b,Cash,NOV 2013,197.0,Bill Pay
value_b,Cheque,NOV 2013,191.0,Bill Pay
value_b,Others,NOV 2013,52.0,Bill Pay
volume_k,Cash,DEC 2013,30364.0,Bill Pay
volume_k,Cheque,DEC 2013,151.0,Bill Pay
volume_k,Others,DEC 2013,479.0,Bill Pay
value_b,Cash,DEC 2013,209.0,Bill Pay
value_b,Cheque,DEC 2013,183.0,Bill Pay
value_b,Others,DEC 2013,53.0,Bill Pay
volume_k,Cash,JAN 2014,30195.0,Bill Pay
volume_k,Cheque,JAN 2014,174.0,Bill Pay
volume_k,Others,JAN 2014,461.0,Bill Pay
value_b,Cash,JAN 2014,216.0,Bill Pay
value_b,Cheque,JAN 2014,205.0,Bill Pay
value_b,Others,JAN 2014,57.0,Bill Pay
volume_k,Cash,FEB 2014,29173.0,Bill Pay
volume_k,Cheque,FEB 2014,149.0,Bill Pay
volume_k,Others,FEB 2014,443.0,Bill Pay
value_b,Cash,FEB 2014,196.0,Bill Pay
value_b,Cheque,FEB 2014,157.0,Bill Pay
value_b,Others,FEB 2014,59.0,Bill Pay
volume_k,Cash,MAR 2014,32826.0,Bill Pay
volume_k,Cheque,MAR 2014,171.0,Bill Pay
volume_k,Others,MAR 2014,500.0,Bill Pay
value_b,Cash,MAR 2014,229.0,Bill Pay
value_b,Cheque,MAR 2014,173.0,Bill Pay
value_b,Others,MAR 2014,66.0,Bill Pay
volume_k,Cash,APR 2014,31075.0,Bill Pay
volume_k,Cheque,APR 2014,179.0,Bill Pay
volume_k,Others,APR 2014,486.0,Bill Pay
value_b,Cash,APR 2014,244.0,Bill Pay
value_b,Cheque,APR 2014,207.0,Bill Pay
value_b,Others,APR 2014,78.0,Bill Pay
volume_k,Cash,MAY 2014,32918.0,Bill Pay
volume_k,Cheque,MAY 2014,185.0,Bill Pay
volume_k,Others,MAY 2014,511.0,Bill Pay
value_b,Cash,MAY 2014,251.0,Bill Pay
value_b,Cheque,MAY 2014,208.0,Bill Pay
value_b,Others,MAY 2014,84.0,Bill Pay
volume_k,Cash,JUN 2014,32147.0,Bill Pay
volume_k,Cheque,JUN 2014,188.0,Bill Pay
volume_k,Others,JUN 2014,515.0,Bill Pay
value_b,Cash,JUN 2014,257.0,Bill Pay
value_b,Cheque,JUN 2014,183.0,Bill Pay
value_b,Others,JUN 2014,108.0,Bill Pay
volume_k,Cash,JUL 2014,33152.0,Bill Pay
volume_k,Cheque,JUL 2014,196.0,Bill Pay
volume_k,Others,JUL 2014,521.0,Bill Pay
value_b,Cash,JUL 2014,282.0,Bill Pay
value_b,Cheque,JUL 2014,190.0,Bill Pay
value_b,Others,JUL 2014,176.0,Bill Pay
volume_k,Cash,AUG 2014,31783.0,Bill Pay
volume_k,Cheque,AUG 2014,187.0,Bill Pay
volume_k,Others,AUG 2014,534.0,Bill Pay
value_b,Cash,AUG 2014,258.0,Bill Pay
value_b,Cheque,AUG 2014,198.0,Bill Pay
value_b,Others,AUG 2014,147.0,Bill Pay
volume_k,Cash,SEP 2014,30270.0,Bill Pay
volume_k,Cheque,SEP 2014,205.0,Bill Pay
volume_k,Others,SEP 2014,505.0,Bill Pay
value_b,Cash,SEP 2014,279.0,Bill Pay
value_b,Cheque,SEP 2014,216.0,Bill Pay
value_b,Others,SEP 2014,205.0,Bill Pay
volume_k,Cash,OCT 2014,31768.0,Bill Pay
volume_k,Cheque,OCT 2014,197.0,Bill Pay
volume_k,Others,OCT 2014,529.0,Bill Pay
value_b,Cash,OCT 2014,276.0,Bill Pay
value_b,Cheque,OCT 2014,226.0,Bill Pay
value_b,Others,OCT 2014,184.0,Bill Pay
volume_k,Cash,NOV 2014,31318.0,Bill Pay
volume_k,Cheque,NOV 2014,178.0,Bill Pay
volume_k,Others,NOV 2014,512.0,Bill Pay
value_b,Cash,NOV 2014,261.0,Bill Pay
value_b,Cheque,NOV 2014,176.0,Bill Pay
value_b,Others,NOV 2014,148.0,Bill Pay
volume_k,Cash,DEC 2014,33280.0,Bill Pay
volume_k,Cheque,DEC 2014,203.0,Bill Pay
volume_k,Others,DEC 2014,624.0,Bill Pay
value_b,Cash,DEC 2014,305.0,Bill Pay
value_b,Cheque,DEC 2014,224.0,Bill Pay
value_b,Others,DEC 2014,174.0,Bill Pay
volume_k,Cash,JAN 2015,32366.0,Bill Pay
volume_k,Cheque,JAN 2015,202.0,Bill Pay
volume_k,Others,JAN 2015,512.0,Bill Pay
value_b,Cash,JAN 2015,279.0,Bill Pay
value_b,Cheque,JAN 2015,189.0,Bill Pay
value_b,Others,JAN 2015,147.0,Bill Pay
volume_k,Cash,FEB 2015,31010.0,Bill Pay
volume_k,Cheque,FEB 2015,188.0,Bill Pay
volume_k,Others,FEB 2015,532.0,Bill Pay
value_b,Cash,FEB 2015,253.0,Bill Pay
value_b,Cheque,FEB 2015,195.0,Bill Pay
value_b,Others,FEB 2015,125.0,Bill Pay
volume_k,Cash,MAR 2015,35615.0,Bill Pay
volume_k,Cheque,MAR 2015,215.0,Bill Pay
volume_k,Others,MAR 2015,668.0,Bill Pay
value_b,Cash,MAR 2015,293.0,Bill Pay
value_b,Cheque,MAR 2015,215.0,Bill Pay
