MeasureName,UsageType,MonthYear,M_Value,TransType
value_m,Purchasing via online channels by credit cards,SEP 2016,2960,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,SEP 2016,1381,TH-Aboard
value_m,Purchasing via online channels by debit cards,SEP 2016,377,TH-Aboard
volume_k,Cash withdrawal,OCT 2016,238.0,TH-Aboard
volume_k,Cash advance,OCT 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,OCT 2016,1388.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,OCT 2016,1459.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,OCT 2016,1083.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,OCT 2016,401.0,TH-Aboard
value_m,Cash withdrawal,OCT 2016,2335.0,TH-Aboard
value_m,Cash advance,OCT 2016,46.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,OCT 2016,7855.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,OCT 2016,2770.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,OCT 2016,1456.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,OCT 2016,385.0,TH-Aboard
volume_k,Cash withdrawal,NOV 2016,218.0,TH-Aboard
volume_k,Cash advance,NOV 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,NOV 2016,1304.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,NOV 2016,1529.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,NOV 2016,1126.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,NOV 2016,414.0,TH-Aboard
value_m,Cash withdrawal,NOV 2016,2139.0,TH-Aboard
value_m,Cash advance,NOV 2016,45.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,NOV 2016,6873.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,NOV 2016,2988.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,NOV 2016,1406.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,NOV 2016,403.0,TH-Aboard
volume_k,Cash withdrawal,DEC 2016,238.0,TH-Aboard
volume_k,Cash advance,DEC 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,DEC 2016,1387.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,DEC 2016,1572.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,DEC 2016,1194.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,DEC 2016,484.0,TH-Aboard
value_m,Cash withdrawal,DEC 2016,2281.0,TH-Aboard
value_m,Cash advance,DEC 2016,47.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,DEC 2016,7548.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,DEC 2016,2945.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,DEC 2016,1434.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,DEC 2016,421.0,TH-Aboard
volume_k,Cash withdrawal,JAN 2017,207.0,TH-Aboard
volume_k,Cash advance,JAN 2017,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2017,1294.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JAN 2017,1535.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2017,817.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JAN 2017,872.0,TH-Aboard
value_m,Cash withdrawal,JAN 2017,2084.0,TH-Aboard
value_m,Cash advance,JAN 2017,41.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2017,6928.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JAN 2017,3128.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2017,1166.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JAN 2017,744.0,TH-Aboard
volume_k,Cash withdrawal,FEB 2017,188.0,TH-Aboard
volume_k,Cash advance,FEB 2017,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2017,1161.0,TH-Aboard
