PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,SEP 2010,997.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,SEP 2010,811.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,SEP 2010,15537.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,SEP 2010,7451.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,SEP 2010,1115.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,SEP 2010,20798.0,volume_k,Transactions processed
e-Payments,e-Money,,SEP 2010,20651.0,volume_k,Transactions processed
Cheque,Inhouse,,OCT 2010,2990.0,volume_k,Transactions processed
Cheque,Interbank,,OCT 2010,5721.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,OCT 2010,187.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,OCT 2010,12718.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,OCT 2010,6421.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),OCT 2010,2019.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,OCT 2010,7449.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,OCT 2010,1023.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,OCT 2010,762.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,OCT 2010,15644.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,OCT 2010,7658.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,OCT 2010,1196.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,OCT 2010,21929.0,volume_k,Transactions processed
e-Payments,e-Money,,OCT 2010,21977.0,volume_k,Transactions processed
Cheque,Inhouse,,NOV 2010,3242.0,volume_k,Transactions processed
Cheque,Interbank,,NOV 2010,6684.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,NOV 2010,198.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,NOV 2010,13452.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,NOV 2010,6859.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),NOV 2010,2064.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,NOV 2010,8410.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,NOV 2010,1032.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,NOV 2010,865.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,NOV 2010,15780.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,NOV 2010,7691.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,NOV 2010,1181.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,NOV 2010,22746.0,volume_k,Transactions processed
e-Payments,e-Money,,NOV 2010,24214.0,volume_k,Transactions processed
Cheque,Inhouse,,DEC 2010,3288.0,volume_k,Transactions processed
Cheque,Interbank,,DEC 2010,6183.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,DEC 2010,199.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,DEC 2010,14010.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,DEC 2010,6496.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),DEC 2010,2155.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,DEC 2010,8068.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,DEC 2010,1052.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,DEC 2010,833.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,DEC 2010,16783.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,DEC 2010,7900.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,DEC 2010,1316.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,DEC 2010,24579.0,volume_k,Transactions processed
e-Payments,e-Money,,DEC 2010,26753.0,volume_k,Transactions processed
