SystemType,ChannelType,MonthYear,M_Value,TransType,MeasureName
ATM,ATM card,AUG 2014,8040.0,Payment cards,value
ATM,Debit card,AUG 2014,11127.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2014,5219.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2014,192.0,Payment cards,value
ATM,ATM card,SEP 2014,7698.0,Payment cards,value
ATM,Debit card,SEP 2014,10729.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2014,5546.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2014,201.0,Payment cards,value
ATM,ATM card,OCT 2014,8146.0,Payment cards,value
ATM,Debit card,OCT 2014,11218.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2014,5587.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2014,199.0,Payment cards,value
ATM,ATM card,NOV 2014,7849.0,Payment cards,value
ATM,Debit card,NOV 2014,10954.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2014,7162.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2014,222.0,Payment cards,value
ATM,ATM card,DEC 2014,9064.0,Payment cards,value
ATM,Debit card,DEC 2014,12548.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2015,5265.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2015,274.0,Payment cards,value
ATM,ATM card,JAN 2015,8170.0,Payment cards,value
ATM,Debit card,JAN 2015,11426.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2015,4928.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2015,226.0,Payment cards,value
ATM,ATM card,FEB 2015,8019.0,Payment cards,value
ATM,Debit card,FEB 2015,11061.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2015,5623.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2015,253.0,Payment cards,value
ATM,ATM card,MAR 2015,7741.0,Payment cards,value
ATM,Debit card,MAR 2015,11988.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2015,5017.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2015,225.0,Payment cards,value
ATM,ATM card,APR 2015,7162.0,Payment cards,value
ATM,Debit card,APR 2015,10868.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2015,5053.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2015,227.0,Payment cards,value
ATM,ATM card,MAY 2015,7966.0,Payment cards,value
ATM,Debit card,MAY 2015,11496.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2015,5222.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2015,220.0,Payment cards,value
ATM,ATM card,JUN 2015,7541.0,Payment cards,value
